filename,title,year,theme,source,id,url,bytes,status
01_2025_barriers-and-opportunities-to-energy-sharing-between-vehicles-and-buil.pdf,"Barriers and Opportunities to Energy Sharing Between Vehicles and Buildings During an Emergency, and Vehicles and Grids at Other Times",2025,canada-vgi,UBC Sustainability Scholars,ubc-walgama-2025,https://sustain.ubc.ca/sites/default/files/2025-022_Energy%20Sharing%20Opportunities%20V2B%20%26%20V2G_Walgama.pdf,1270050,ok
02_2024_optimal-vehicle-to-grid-charging-system-considering-solar-storage-and-.pdf,"Optimal Vehicle to Grid Charging System Considering Solar, Storage, and User Privacy (IESO Grid Innovation Fund final report)",2024,canada-pilot,IESO,ieso-gif-sky-clean,https://www.ieso.ca/-/media/Files/IESO/Document-Library/funding/Grid-Innovation-Fund/Sky-Clean-Energy-GIF-final-report.pdf,2603211,ok
03_2025_memorandum-on-consideration-of-bidirectional-charging-in-local-achieva.pdf,Memorandum on Consideration of Bidirectional Charging in Local Achievable Potential Studies for Toronto and Ottawa,2025,canada-policy,IESO,ieso-v2g-memo-2025,https://www.ieso.ca/-/media/Files/IESO/Document-Library/regional-planning/Toronto/toronto-20250821-Memorandum.pdf,292187,ok
04_2024_feasibility-and-challenges-for-vehicle-to-grid-in-electricity-market-a.pdf,Feasibility and Challenges for Vehicle-to-Grid in Electricity Market: A Review,2024,v2g-market,MDPI Energies,doi:10.3390/en17030679,https://mdpi-res.com/d_attachment/energies/energies-17-00679/article_deploy/energies-17-00679.pdf,3536193,ok
05_2025_electric-vehicle-scheduling-and-vehicle-to-grid-integration-in-microgr.pdf,Electric Vehicle Scheduling and Vehicle-to-Grid Integration in Microgrids,2025,v2g,arXiv,arxiv:2508.06752,https://arxiv.org/pdf/2508.06752.pdf,374722,ok
06_2020_reliable-frequency-regulation-through-vehicle-to-grid-encoding-legisla.pdf,Reliable Frequency Regulation through Vehicle-to-Grid: Encoding Legislation with Robust Constraints,2020,v2g,arXiv,arxiv:2005.06042,https://arxiv.org/pdf/2005.06042.pdf,1092642,ok
07_2021_a-comprehensive-electric-vehicle-model-for-vehicle-to-grid-strategy-de.pdf,A Comprehensive Electric Vehicle Model for Vehicle-to-Grid Strategy Development,2021,v2g,arXiv,arxiv:2110.12225,https://arxiv.org/pdf/2110.12225.pdf,13903058,ok
08_2025_online-aging-aware-energy-optimization-for-vehicle-home-grid-integrati.pdf,Online Aging-Aware Energy Optimization for Vehicle-Home-Grid Integration,2025,v2g,arXiv,arxiv:2504.09657,https://arxiv.org/pdf/2504.09657.pdf,593899,ok
09_2021_niche-to-normality-an-interdisciplinary-review-of-vehicle-to-grid.pdf,Niche to normality -- an interdisciplinary review of Vehicle-to-Grid,2021,v2g,arXiv,arxiv:2106.05837,https://arxiv.org/pdf/2106.05837.pdf,775738,ok
10_2023_vehicle-to-grid-plug-in-forecasting-for-participation-in-ancillary-ser.pdf,Vehicle-to-grid plug-in forecasting for participation in ancillary services markets,2023,v2g,arXiv,arxiv:2307.07399,https://arxiv.org/pdf/2307.07399.pdf,369668,ok
